catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
10514,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,https://www.mdcalc.com/calc/10514/2012-eular-acr-classification-criteria-polymyalgia-rheumatica,Diagnosis,"Family Practice, Hospitalist Medicine, Internal Medicine, Orthopedics, Palliative Care/Hospice, Primary Care, Rheumatology","Rheumatoid Arthritis, Polymyalgia Rheumatica",2012 eular acr classification criteria for polymyalgia rheumatica
10595,2018 Leibovich Model for Renal Cell Carcinoma (RCC)/none,https://www.mdcalc.com/calc/10595/2018-leibovich-model-renal-cell-carcinoma-rcc,Prognosis,"Hematology and Oncology, Nephrology, Urology",Renal Cell Carcinoma,2018 leibovich model for renal cell carcinoma rcc
10564,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,https://www.mdcalc.com/calc/10564/2023-duke-international-society-cardiovascular-infectious-diseases-iscvid-criteria,Diagnosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Infectious Disease, Internal Medicine, Primary Care, Surgery (Cardiothoracic)","Bacterial Infections, Endocarditis",2023 duke international society for cardiovascular infectious diseases iscvid criteria
10454,2023 Emergency Medicine Coding Guide/none,https://www.mdcalc.com/calc/10454/2023-emergency-medicine-coding-guide,Algorithm,Emergency Medicine,Any/All,2023 emergency medicine coding guide
10474,2HELPS2B Score/none,https://www.mdcalc.com/calc/10474/2helps2b-score,Prognosis,"Critical Care, Critical Care (Neurologic), Emergency Medicine, Hospitalist Medicine, Internal Medicine, Neurology",Seizure Disorder,2helps2b score
3982,4 A’s Test for Delirium Screening,https://www.mdcalc.com/calc/3982/4-test-delirium-assessment,Diagnosis,"Family Practice, Geriatrics, Primary Care","Delirium, Dementia",4 a s test for delirium screening
10370,4-Level Pulmonary Embolism Clinical Probability Score (4PEPS)/none,https://www.mdcalc.com/calc/10370/4-level-pulmonary-embolism-clinical-probability-score-4peps,"Diagnosis, Rule Out","Cardiology, Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care, Pulmonology","Deep Venous Thrombosis, Pulmonary Embolism",4 level pulmonary embolism clinical probability score 4peps
10338,4C Mortality Score for COVID-19,https://www.mdcalc.com/calc/10338/4c-mortality-score-covid-19,Prognosis,"Critical Care, Emergency Medicine, Hospitalist Medicine, Infectious Disease, Internal Medicine, Pulmonology",Coronavirus,4c mortality score for covid 19
1787,4Ts Score for Heparin-Induced Thrombocytopenia,https://www.mdcalc.com/calc/1787/4ts-score-heparin-induced-thrombocytopenia,Diagnosis,"Critical Care, Emergency Medicine, Hematology and Oncology, Hospitalist Medicine","Bleeding/Hemorrhage, Thrombocytopenia",4ts score for heparin induced thrombocytopenia
3983,6 Minute Walk Distance/none,https://www.mdcalc.com/calc/3983/6-minute-walk-distance,Formula,"Cardiology, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Neurology, Primary Care, Pulmonology, Rheumatology","Chronic Pain, Heart Failure, Idiopathic Pulmonary Fibrosis, Multiple Sclerosis, Neuropathy, Chronic Obstructive Pulmonary Disease",6 minute walk distance
